"","Date","Infl_f","BOT_f","Yield_f","FER_f","Int_f","1Y_Yield_f","GDPG_f","CA_f","FDI_f","Exchange","Country"
"124",1981-05-01,12.9,1130,NA,NA,NA,-63459.34496069,-214.918856179399,4835.4274888716,-20459.245378738,1.974,"sweden"
"125",1981-06-01,13.2,220,NA,NA,NA,-62204.5919424321,-174.579791211245,4587.24154374559,-19174.0499274885,2.0662,"sweden"
"126",1981-07-01,13.3,790,NA,NA,NA,-60966.4839812396,-139.49357013447,4351.92370303882,-17943.7932640446,2.0742,"sweden"
"127",1981-08-01,13.4,-30,NA,NA,NA,-59744.9099660015,-109.311674430556,4129.32061026983,-16767.2753884062,2.0981,"sweden"
"128",1981-09-01,13.6,-1990,NA,NA,NA,-58539.7587856067,-83.6855855809837,3919.27890895713,-15643.2963005734,2.1698,"sweden"
"129",1981-10-01,11.3,-340,NA,NA,NA,-57350.9193289441,-62.266785067235,3721.64524261923,-14570.6560005461,2.0223,"sweden"
"130",1981-11-01,10.4,-500,NA,NA,NA,-56178.2804849026,-44.7067543707914,3536.26625477465,-13548.1544883243,1.8845,"sweden"
"131",1981-12-01,10.2,-190,NA,NA,NA,-55021.7311423709,-30.6569749731342,3362.98858894193,-12574.5917639081,1.7859,"sweden"
"132",1982-01-01,9.1,-150,NA,NA,NA,-53881.1601902381,-19.768928355745,3201.65888863956,-11648.7678272974,1.8152,"sweden"
"133",1982-02-01,9.5,-1000,NA,NA,NA,-52756.456517393,-11.6940960001053,3052.12379738607,-10769.4826784923,1.8442,"sweden"
"134",1982-03-01,9,430,NA,NA,NA,-51647.5090127246,-6.08395938769642,2914.22995869999,-9935.53631749271,1.8909,"sweden"
"135",1982-04-01,8.6,1120,NA,NA,NA,-50554.2065651216,-2.59,2787.82401609982,-9145.72874429867,1.8886,"sweden"
"136",1982-05-01,8.7,1970,NA,NA,NA,-49476.438063473,-0.863699318497468,2672.75261310408,-8398.85995891017,1.9624,"sweden"
"137",1982-06-01,8.5,100,NA,NA,NA,-48414.0923966677,-0.556538824670308,2568.8623932313,-7693.72996132722,1.95,"sweden"
"138",1982-07-01,8.5,460,NA,NA,NA,-47367.0584535946,-1.32,2476,-7029.13875154982,2.0789,"sweden"
"139",1982-08-01,8.3,1500,NA,NA,NA,-46335.2251231425,-2.82560401649599,2394.01207692869,-6403.88632957795,2.096,"sweden"
"140",1982-09-01,7.7,-4210,NA,NA,NA,-45318.4812942004,-4.82503080827957,2322.74526753588,-5816.77269541164,2.1119,"sweden"
"141",1982-10-01,7.5,-720,NA,NA,NA,-44316.715855657,-7.09,2262.04621534011,-5266.59784905086,2.1418,"sweden"
"142",1982-11-01,8.3,-1060,NA,NA,NA,-43329.8176964014,-9.29203276366672,2211.76156385988,-4752.16179049563,2.1737,"sweden"
"143",1982-12-01,8.8,-3070,NA,NA,NA,-42357.6757053225,-10.7018564607299,2171.73795661372,-4272.26451974594,2.1931,"sweden"
